time,crop,pest,bird,bat,bee,soil_biota
0.0,100.0,50.0,5.0,3.0,12.0,80.0
1.0027472527472527,111.45137362637362,47.51402243589744,6.175721153846154,3.7654304029304027,13.347692307692308,88.03481318681318
2.0054945054945055,125.32068837450683,42.46386194863391,7.543384570827585,4.67412487692219,13.799999999999999,97.38319393482672
3.008241758241758,142.82783196412544,35.19052606659179,9.02839192840451,5.681298572824682,13.799999999999999,108.36467365189328
4.010989010989011,165.63037277154476,26.792164470868734,10.499625104423203,6.699951333444367,13.799999999999999,121.47770691930927
5.013736263736264,195.7292211823767,18.801290537376737,11.80746792582996,7.62478567161402,13.799999999999999,137.5118511900785
6.016483516483516,235.22345622014768,12.44320517405392,12.850110257083134,8.379254099779997,13.799999999999999,157.69269746510872
7.019230769230769,286.20662875967435,8.099215352745205,13.613806649470673,8.947476162670137,13.799999999999999,183.91851250096278
8.021978021978022,350.93391007029146,5.450189044939382,14.151867188503832,9.36255279409558,13.799999999999999,219.14141289258035
9.024725274725274,432.3546832993161,3.9675815748323333,14.535847990200311,9.672703092105529,13.799999999999999,268.0340958092628
10.027472527472527,535.15487421101,3.236868250632472,14.825293909083031,9.919121512596835,13.799999999999999,287.5
11.030219780219781,575.0,3.0407344400445204,15.06263169722417,10.131694075456737,13.799999999999999,287.5
12.032967032967033,575.0,2.972719511850508,15.279746809403873,10.333444803055158,13.799999999999999,287.5
13.035714285714285,575.0,2.856829818969544,15.484415415027334,10.529920521352357,13.799999999999999,287.5
14.038461538461538,575.0,2.6998733669575286,15.673632481946933,10.718622629514833,13.799999999999999,287.5
15.041208791208792,575.0,2.510816360652663,15.844893967443992,10.89732536773086,13.799999999999999,287.5
16.043956043956044,575.0,2.299776441515967,15.996369516265583,11.064223439272405,13.799999999999999,287.5
17.046703296703296,575.0,2.07696622061928,16.127001181307342,11.218031721891204,13.799999999999999,287.5
18.049450549450547,575.0,1.851769069070702,16.236518606300663,11.358026073420799,13.799999999999999,287.5
19.052197802197803,575.0,1.6320756181973481,16.325376973170503,11.484025808774987,13.799999999999999,287.5
20.054945054945055,575.0,1.4239323826675385,16.394636689551632,11.596328565023525,13.799999999999999,287.5
21.057692307692307,575.0,1.2314812011731786,16.445810267738363,11.695614400370355,13.799999999999999,287.5
22.060439560439562,575.0,1.0571196676526586,16.4807016548987,11.78283727652511,13.799999999999999,287.5
23.063186813186814,575.0,0.901794577533682,16.50125810872256,11.859119421828213,13.799999999999999,287.5
24.065934065934066,575.0,0.7653471553116012,16.50944724203162,11.925659250264442,13.799999999999999,287.5
25.068681318681318,575.0,0.6468495297749853,16.507164521221156,11.983658324157952,13.799999999999999,287.5
26.07142857142857,575.0,0.544896103976978,16.496170813118233,12.034268538105247,13.799999999999999,287.5
27.074175824175825,575.0,0.457834261601168,16.47805604293878,12.078557800346383,13.799999999999999,287.5
28.076923076923077,575.0,0.38393339678523536,16.454223445043567,12.117490972551238,13.799999999999999,287.5
29.07967032967033,575.0,0.32149955038540645,16.425888714487627,12.151922381768738,13.799999999999999,287.5
30.082417582417584,575.0,0.2689463918883335,16.39408901623474,12.182596445957536,13.799999999999999,287.5
31.085164835164836,575.0,0.22483363012236995,16.359697811660578,12.210153518438464,13.799999999999999,287.5
32.08791208791209,575.0,0.18788263203356131,16.32344251062075,12.235138719961586,13.799999999999999,287.5
33.09065934065934,575.0,0.15697709248967756,16.285922886032125,12.258012151754079,13.799999999999999,287.5
34.09340659340659,575.0,0.13115462669301983,16.24762893141825,12.279159405158165,13.799999999999999,287.5
35.09615384615385,575.0,0.1095934405208902,16.208957395065696,12.298901686651607,13.799999999999999,287.5
36.098901098901095,575.0,0.09159687083434029,16.17022661168374,12.317505169770863,13.799999999999999,287.5
37.10164835164835,575.0,0.07657757164794705,16.131689508227023,12.335189386905611,13.799999999999999,287.5
38.104395604395606,575.0,0.06404240142055706,16.093544818887313,12.352134605372065,13.799999999999999,287.5
39.107142857142854,575.0,0.05357857740975962,16.055946634162368,12.368488212799948,13.799999999999999,287.5
40.10989010989011,575.0,0.04484134468460038,16.0190124529638,12.384370182269839,13.799999999999999,287.5
41.112637362637365,575.0,0.037543209987713974,15.982829921532113,12.399877709638748,13.799999999999999,287.5
42.11538461538461,575.0,0.03144467568011182,15.947462440126648,12.415089122634116,13.799999999999999,287.5
43.11813186813187,575.0,0.026346348323797616,15.91295380589485,12.430067159510667,13.799999999999999,287.5
44.120879120879124,575.0,0.022082270228952847,15.879332043081424,12.44486170832549,13.799999999999999,287.5
45.12362637362637,575.0,0.018514316988620865,15.846612552968942,12.459512088765795,13.799999999999999,287.5
46.12637362637363,575.0,0.015527510683214608,15.814800697501505,12.474048948559473,13.799999999999999,287.5
47.129120879120876,575.0,0.01302611129321066,15.783893913436406,12.488495836754627,13.799999999999999,287.5
48.13186813186813,575.0,0.01093036432083835,15.75388343856188,12.502870507086106,13.799999999999999,287.5
49.13461538461539,575.0,0.009173798546992287,15.724755718152503,12.517185996498725,13.799999999999999,287.5
50.137362637362635,575.0,0.007700983033637166,15.696493548360046,12.531451516746307,13.799999999999999,287.5
51.14010989010989,575.0,0.006465666314229427,15.669077003510088,12.545673190814309,13.799999999999999,287.5
52.14285714285714,575.0,0.005429232948889275,15.642484186102463,12.559854660651295,13.799999999999999,287.5
53.145604395604394,575.0,0.004559423225101793,15.616691831494395,12.573997588246376,13.799999999999999,287.5
54.14835164835165,575.0,0.0038292708447530055,15.591675793583434,12.588102068354482,13.799999999999999,287.5
55.1510989010989,575.0,0.003216221098894033,15.567411433124006,12.60216696804973,13.799999999999999,287.5
56.15384615384615,575.0,0.0027013984595755576,15.543873926448017,12.616190205687646,13.799999999999999,287.5
57.15659340659341,575.0,0.0022689978814331114,15.52103850917913,12.630168979697775,13.799999999999999,287.5
58.15934065934066,575.0,0.0019057785622962667,15.498880666915023,12.644099955837936,13.799999999999999,287.5
